Macrogene,gene,weight
Macrogene 0,mouse_Tspan2,0.6358128
Macrogene 0,mouse_Tspan18,0.52670616
Macrogene 0,mouse_Lhfp,0.48417947
Macrogene 0,marm_TSPAN15,0.44295755
Macrogene 0,mouse_Nkain1,0.44137073
Macrogene 0,mouse_Tspan15,0.40206265
Macrogene 0,mouse_Tspan5,0.39124486
Macrogene 0,mouse_Tspan9,0.3626988
Macrogene 0,marm_CD9,0.33387762
Macrogene 0,marm_SLC44A1,0.29415718
Macrogene 0,marm_UPK1B,0.2856756
Macrogene 0,mouse_Tspan33,0.28565553
Macrogene 0,mouse_Plp1,0.28086612
Macrogene 0,marm_TSPAN2,0.2680089
Macrogene 0,marm_TSPAN18,0.26665625
Macrogene 1,marm_PTPRT,1.1655121
Macrogene 1,marm_EPHA6,0.93576753
Macrogene 1,mouse_Ptprk,0.8100515
Macrogene 1,mouse_Epha6,0.74294686
Macrogene 1,mouse_Epha5,0.729321
Macrogene 1,marm_PTPRK,0.71273607
Macrogene 1,marm_EPHA5,0.66801697
Macrogene 1,mouse_Epha4,0.65187865
Macrogene 1,marm_PTPRJ,0.64280546
Macrogene 1,marm_MUSK,0.6334676
Macrogene 1,marm_EPHA3,0.6308291
Macrogene 1,mouse_Ephb2,0.6206495
Macrogene 1,marm_EPHA4,0.61285937
Macrogene 1,marm_CDH20,0.5976627
Macrogene 1,mouse_Ncam2,0.5967872
Macrogene 1,mouse_Epha3,0.5960807
Macrogene 1,marm_EPHB1,0.5955819
Macrogene 1,marm_ADGRV1,0.57890123
Macrogene 1,marm_EPHB2,0.57454145
Macrogene 1,marm_PTPRU,0.57286364
Macrogene 1,marm_EPHA7,0.56567824
Macrogene 1,mouse_Ephb1,0.55549455
Macrogene 1,mouse_Ptprt,0.555246
Macrogene 1,marm_PTPRM,0.5465713
Macrogene 1,mouse_Adgrv1,0.5444252
Macrogene 1,mouse_Cdh10,0.54145837
Macrogene 1,mouse_Cdh20,0.5272175
Macrogene 1,mouse_Ptpru,0.5117918
Macrogene 1,marm_PTPRC,0.5116469
Macrogene 1,marm_EPHA8,0.5099868
Macrogene 1,marm_TEK,0.50990313
Macrogene 1,mouse_Ddr2,0.5050481
Macrogene 1,marm_CDH8,0.5032117
Macrogene 1,mouse_Tek,0.5013628
Macrogene 1,marm_DDR2,0.49959514
Macrogene 1,marm_ROS1,0.49341777
Macrogene 1,mouse_Ros1,0.48059672
Macrogene 1,mouse_Ptprj,0.47485742
Macrogene 1,mouse_Adgrl2,0.45876884
Macrogene 1,mouse_Epha7,0.4532942
Macrogene 1,marm_CDH9,0.44122604
Macrogene 1,mouse_Ptpro,0.4403744
Macrogene 1,marm_KIT,0.4231199
Macrogene 1,marm_CDH11,0.39625746
Macrogene 1,mouse_Nfasc,0.3884122
Macrogene 1,mouse_Epha10,0.38595778
Macrogene 1,mouse_Cdh8,0.38589606
Macrogene 1,marm_CNTNAP5,0.38112816
Macrogene 1,marm_EPHB6,0.3725011
Macrogene 1,mouse_Sorcs1,0.37162244
Macrogene 1,mouse_Cdh12,0.35722905
Macrogene 1,mouse_Cdh19,0.3535974
